"CitationKey","PaperTitle","ThesisCitationLocation","ThesisCitingParagraph","RelationToCitingParagraph","RelevantPassageSection","RelevantPassageInPaper","PDFPath"
"Gidney2021Quantum","How to factor 2048 bit RSA","Line 132","L132: At a more fundamental level, quantum error correction (QEC) provides a rigorous framework for protecting quantum information by encoding logical qubits into many physical qubits and actively correcting errors during computation \cite{Terhal2015RMP}. In principle, QEC offers a long-term route toward fault-tolerant quantum computing. However, its implementation requires large hardware overhead, potentially requiring millions of physical qubits to run practical algorithms \cite{Gidney2021Quantum}, as well as frequent syndrome extraction and physical error rates below the fault-tolerant threshold, all of which remain beyond the capability of current NISQ devices.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEC\q-2021-04-15-433 How to factor 2048 bit RSA integers in 8 hours using 20 million noisy qubits.pdf"
"Endo2021JPSJ","Hybrid Quantum-Classical Algorithms and Quantum Error Mitigation","Line 134","L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.","Used as foundational support for quantum error mitigation as a near-term strategy.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\jpsj.90.032001 Hybrid Quantum-Classical Algorithms and Quantum Error Mitigation.pdf"
"Temme2017PRL","Error Mitigation for Short-Depth Quantum Circuits","Line 134; Line 164","L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.

L164: In practice, PEC is implemented by sampling correction operations according to the magnitudes of the quasi-probability coefficients and combining the resulting measurement outcomes with signed weights. In this way, the average over many randomized circuit executions reproduces the ideal expectation value under the assumed noise model. Therefore, PEC transforms the noise-mitigation problem into a combination of calibration, sampling, and classical post-processing \cite{Temme2017PRL,Endo2018PRX,Song2019SciAdv}.","Used as foundational support for quantum error mitigation as a near-term strategy.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PhysRevLett.119.180509 Error Mitigation for Short-Depth Quantum Circuits.pdf"
"Cai2023RMP","Quantum error mitigation","Line 134; Line 134","L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.

L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.","Used as foundational support for quantum error mitigation as a near-term strategy.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\RevModPhys.95.045005 Quantum error mitigation.pdf"
"Bonet2018PRA","Low-cost error mitigation by symmetry verification","Line 134","L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.","Used as foundational support for quantum error mitigation as a near-term strategy.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PhysRevA.98.062339 Low-cost error mitigation by symmetry verification.pdf"
"Huo2022PRA","Dual-state purification for practical quantum error mitigation","Line 134","L134: Because of these practical limitations, quantum error mitigation (QEM) has emerged as an important near-term alternative \cite{Temme2017PRL,Endo2021JPSJ,Cai2023RMP}. Unlike QEC, QEM does not attempt to fully correct errors during computation. Instead, it aims to reduce the effect of noise on measured observables through circuit-level processing and classical post-processing \cite{Bonet2018PRA,Huo2022PRA,Cai2023RMP}. This makes QEM especially attractive for present-day devices, where qubit numbers and fidelities are still limited \cite{Khatri2020QIP}.","Used as foundational support for quantum error mitigation as a near-term strategy.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PhysRevA.105.022427 Dual-state purification for practical quantum error mitigation.pdf"
"Czarnik2021Quantum","Error mitigation with Clifford data regression","Line 138","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\q-2021-11-26-592 Error mitigation with Clifford quantum-circuit data.pdf"
"Strikis2021PRXQ","Learning-based quantum error mitigation","Line 138","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\PRXQuantum.2.040330 Learning-based quantum error mitigation.pdf"
"Bravyi2021PRA","Mitigating measurement errors in multiqubit experiments","Line 140","L140: Despite its theoretical appeal, PEC is still difficult to implement in practice. A complete PEC workflow requires noise characterization, channel reconstruction, and statistical post-processing \cite{Bravyi2021PRA}. These steps are not only technically involved, but also sensitive to notation consistency, backend configuration, and sampling overhead. To streamline this process, existing software frameworks have laid the groundwork for modular QEM \cite{LaRose2022Mitiq}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\PhysRevA.103.042605 Mitigating measurement errors in multiqubit experiments.pdf"
"LaRose2022Mitiq","Mitiq: A software package for error mitigation on noisy quantum computers","Line 140","L140: Despite its theoretical appeal, PEC is still difficult to implement in practice. A complete PEC workflow requires noise characterization, channel reconstruction, and statistical post-processing \cite{Bravyi2021PRA}. These steps are not only technically involved, but also sensitive to notation consistency, backend configuration, and sampling overhead. To streamline this process, existing software frameworks have laid the groundwork for modular QEM \cite{LaRose2022Mitiq}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\q-2022-08-11-774 Mitiq A software package for error mitigation on noisy quantum computers.pdf"
"Wang2021Automated","Automated quantum error mitigation for IBM","Line 142","L142: To address this issue, we develop an automated PEC package for near-term quantum computers \cite{Wang2021Automated,Song2019SciAdv,Zhang2020NatCommun}. The package integrates the major components of PEC into a unified workflow, including observable-level readout mitigation, Pauli-twirled two-qubit gate mitigation, automated circuit transformation, weighted execution, and truncation-based sampling reduction. It is designed with a modular structure so that users can flexibly adapt noise models, target circuits, and execution backends without rebuilding the full mitigation pipeline from scratch.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\Package\QCS56647.2022.00015 Automated quantum error mitigation based on probabilistic error reduction.pdf"
"Qin2023npjQI","Error statistics and scalability of quantum error mitigation formulas","Line 166; Line 814; Line 874; Line 876","L166: The main advantage of PEC is that it can remove bias rather than merely suppressing it approximately. However, this benefit comes at the cost of increased sampling overhead. The variance of the estimator generally grows with the $L_1$ norm of the quasi-probability coefficients, which means that accurate mitigation may require a large number of circuit samples. This bias-variance trade-off and the associated growth of statistical fluctuation in error-mitigated estimators have been analyzed in Ref.~\cite{Qin2023npjQI}. Consequently, a practical PEC framework must address not only the construction of the inverse channel, but also the management of sampling cost and execution efficiency.

L814: At the same time, the Gaussian distribution of the PEC results is broader than that of the corresponding No-PEC results. This trend is again consistent with the theoretical behavior of probabilistic error cancellation: the quasi-probability reweighting reduces the bias of the noisy estimate and improves the mean CHSH value, but it also amplifies the statistical fluctuation of the mitigated estimator \cite{Qin2023npjQI,Tsubouchi2025npjQI}. This effect is reflected in the larger standard deviations of the PEC results, namely $0.037$ versus $0.029$ for the ibm\_fez case and $0.016$ versus $0.012$ for the ibm\_boston case.

L874: Another common feature is that the Gaussian distribution of the PEC results is broader than that of the corresponding No-PEC results. This behavior is consistent with the theoretical expectation of probabilistic error cancellation \cite{Qin2023npjQI,Tsubouchi2025npjQI}. The quasi-probability reweighting suppresses the bias of the noisy result and moves the mean fidelity toward the ideal value, but it also amplifies the statistical fluctuation of the estimator. Therefore, the PEC results become more accurate in their mean value while also exhibiting a larger variance.

L876: Taken together, these teleportation results demonstrate two important points. In addition, the device-dependent truncation behavior is compatible with the broader practical-QEM picture reported in recent mitigation studies, where noise structure and mitigation overhead jointly determine the final execution cost \cite{Qin2023npjQI,Henao2023npjQI,Liao2024NatMachIntell}. First, the proposed PEC package can effectively improve noisy-circuit results for the teleportation task. Second, the same class-based mitigation workflow remains valid across different IBM-device noisy models, which supports the general applicability of the package rather than a device-specific tuning to a single backend.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\s41534-023-00707-7 Error statistics and scalability of quantum error mitigation formulas.pdf"
"Huggins2021PRX","Virtual Distillation for Quantum Error Mitigation","Line 138","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PhysRevX.11.041036 Virtual Distillation for Quantum Error Mitigation.pdf"
"Bultrini2023Quantum","Unifying and benchmarking state-of-the-art quantum error mitigation techniques","Line 138; Line 151","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.

L151: This chapter presents the theoretical framework required by the proposed automated PEC package. Rather than repeating the general motivation already given in Chapter 1, the focus here is placed on the technical concepts that directly support the package design, including quasi-probability-based inversion, the Pauli transfer matrix (PTM) representation, Pauli twirling, and the distinction between observable-level and gate-level mitigation. These ingredients provide the common language used by the class-based implementation described in the following chapter, and they also connect naturally to recent developments in practical and data-driven QEM workflows \cite{Bultrini2023Quantum,Henao2023npjQI}.","Used to support the definition, implementation, or practical overhead of probabilistic error cancellation.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PhysRevA.105.022427 Dual-state purification for practical quantum error mitigation.pdf"
"Kim2023NatureUtility","Evidence for the utility of quantum computing before fault tolerance","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\s41586-023-06096-3 Evidence for the utility of quantum computing before fault tolerance.pdf"
"Liao2024NatMachIntell","Machine learning for practical quantum error mitigation","Line 138; Line 876; Line 975","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.

L876: Taken together, these teleportation results demonstrate two important points. In addition, the device-dependent truncation behavior is compatible with the broader practical-QEM picture reported in recent mitigation studies, where noise structure and mitigation overhead jointly determine the final execution cost \cite{Qin2023npjQI,Henao2023npjQI,Liao2024NatMachIntell}. First, the proposed PEC package can effectively improve noisy-circuit results for the teleportation task. Second, the same class-based mitigation workflow remains valid across different IBM-device noisy models, which supports the general applicability of the package rather than a device-specific tuning to a single backend.

L975: Several directions remain open for future work. In particular, one promising direction is to combine the present class-based PEC workflow with recent machine-learning-assisted mitigation strategies and adaptive inverse-construction schemes \cite{Kim2020IEEEAccess,Liao2024NatMachIntell,Henao2023npjQI,Adeniyi2025QMI}. First, the package may be extended to support more general noise models and hardware-specific calibration strategies. Second, the current workflow can be integrated more closely with higher-level circuit management and experiment orchestration tools. Third, the truncation strategy may be refined further to balance mitigation accuracy and sampling cost more adaptively. These extensions would improve the usability and scalability of the package for broader NISQ-era applications.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\ML&QEM\Machine Learning for Practical Quantum Error Mitigation\Machine Learning for Practical Quantum Error Mitigation.pdf"
"Kim2020IEEEAccess","Quantum Error Mitigation With Artificial Neural Network","Line 138; Line 975","L138: A more systematic mitigation strategy is probabilistic error cancellation (PEC) \cite{Endo2018PRX}. In particular, Pauli-twirling-based PEC transforms a general noisy channel into an effective Pauli channel that is easier to analyze and invert \cite{Berg2023NatPhys}. By expressing the inverse noisy process as a quasi-probability expansion over Pauli operations \cite{Berg2023NatPhys}, PEC enables unbiased estimation of ideal expectation values when the underlying noise model is sufficiently accurate. Recent advances such as virtual distillation, Clifford Data Regression (CDR), benchmarking-oriented unified frameworks, and learning-based methods have further expanded this domain \cite{Huggins2021PRX,Czarnik2021Quantum,Bultrini2023Quantum,Strikis2021PRXQ,Kim2020IEEEAccess,Liao2024NatMachIntell}.

L975: Several directions remain open for future work. In particular, one promising direction is to combine the present class-based PEC workflow with recent machine-learning-assisted mitigation strategies and adaptive inverse-construction schemes \cite{Kim2020IEEEAccess,Liao2024NatMachIntell,Henao2023npjQI,Adeniyi2025QMI}. First, the package may be extended to support more general noise models and hardware-specific calibration strategies. Second, the current workflow can be integrated more closely with higher-level circuit management and experiment orchestration tools. Third, the truncation strategy may be refined further to balance mitigation accuracy and sampling cost more adaptively. These extensions would improve the usability and scalability of the package for broader NISQ-era applications.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\ML&QEM\Quantum Error Mitigation With Artificial Neural Network\Quantum_Error_Mitigation_With_Artificial_Neural_Network.pdf"
"Aasen2024CommunPhys","Readout error mitigated quantum state tomography tested on superconducting qubits","Line 256","L256: We first consider readout-noise mitigation at the observable level \cite{vanDenBerg2022PRA,Aasen2024CommunPhys}. In the Pauli transfer matrix (PTM) representation, any single-qubit observable can be expanded on the Pauli basis $\{\hat{\sigma}_0, \hat{\sigma}_x, \hat{\sigma}_y, \hat{\sigma}_z\}$, where $\hat{\sigma}_0 = \widehat{I}$ denotes the identity operator and $\hat{\sigma}_x$, $\hat{\sigma}_y$, and $\hat{\sigma}_z$ are Pauli matrices. Due to readout noise, the experimentally realized observable is distorted as","Used to support observable-level readout-noise mitigation or readout-error characterization.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEM\PEC\s42005-024-01790-8 Readout error mitigated quantum state tomography tested on superconducting qubits.pdf"
